"Gene symbol","CD4_Tcell","NK_cell","M2","M1","DC_cell","T_helper","Treg","CD8_Tcell","memory_CD8_Tcell"
"DCAKD",37.6942353187431,43.2695286513575,34.3207458414603,46.9606671751016,30.6446962549264,39.6578070985389,162.148065312909,42.6510099802327,184.922569005862
"KPNA4",65.2939311831613,126.304348505904,202.922073895231,284.452411187729,318.527031406549,93.059272266724,689.012812256283,56.9510288463076,144.728877621748
"NPAS1",32.0162182073072,32.7300068679467,50.5056890632313,57.9273193840355,38.2716845941557,51.6200631049901,94.8047539996587,49.2453295474608,63.6451643635522
"ZNF493",56.3655590786471,48.2616555176344,12.824253999011,11.7956989304941,13.9722746329753,27.6535348202139,19.9543793272581,31.5644345157579,89.7927151946462
"NRF1",48.6385730920264,70.6152316432807,54.9133492099488,43.1204401709449,39.1926983955359,61.5287594527975,245.953879320697,78.0299461901561,143.345767774743
"NFATC1",1843.79430330699,177.08184503525,238.786423089052,182.733837797652,142.395426509756,352.132359318237,187.03299602407,556.125623248049,167.75570268631
"PPIC",20.409783871729,19.7116754164601,82.8080432378088,117.662191329133,271.942532511582,22.5241069316222,36.6286976203567,23.5650199889104,28.716380224652
"ZBTB37",150.759280016046,218.339145406849,114.514382849775,32.2538729412093,60.1218500930529,50.7135020898526,15.2331088576914,79.2509321924062,90.7105847950502
"MCM3AP.AS1",7.49172010154201,7.01899025123203,5.86946496703971,6.0364108421776,6.50716664121087,6.49674464018245,9.07199597377132,6.71511450288226,14.4954779688943
"THUMPD3.AS1",216.764696456866,104.950519667811,90.4294008576706,43.1554691338692,54.7940941869086,107.787943063121,354.727901199483,115.190266105164,206.949650227783
"CAMK1D",216.446850808616,376.861994429708,380.926012728649,92.6721218916963,484.312020339156,100.181548062278,189.86254280461,210.040685642999,149.901239247083
"TNFSF10",36.8546052328303,138.895543443463,14.2582103000362,231.880147788529,10.4256830399307,140.676740228004,31.3780979973681,35.0905340630171,24.5617934164632
"CDH6",39.2222664869658,37.8299902645273,41.6980496293707,49.957088708085,37.6733651038011,46.8542496432096,22.8904195397665,36.3169212776093,17.3792027902375
"RAPGEF2",7.63185626224922,19.7775799657069,20.3070391644675,86.6045849585824,27.1417530420663,15.3703914217938,100.199882046904,26.5445172662746,94.9209082564501
"NEK8",149.985268868242,71.4367726917674,71.2673808651774,52.8160315366752,53.1924653856044,62.5050131860594,36.3899710920477,95.7840810273,29.4635732211358
"PAK1",96.6457911211566,150.666200714051,351.426213914613,584.842968508706,129.674904770235,393.177512520152,35.4619754415485,327.566497531708,40.0314786309692
"NAP1L5",43.4224733714587,391.846554159009,15.0348857519737,15.271713100015,42.122232591766,59.8272978988411,21.7830263688638,54.0961493775494,188.872912499677
"TMEM134",42.6910280594983,22.7330838389284,24.8496392022719,27.9663486605549,22.7622615662872,25.9728243552587,50.7613488351936,28.0171247100612,93.7945050609649
"SMG9",137.383030139153,91.1678027335343,193.777331399551,168.08043608755,140.793117394173,277.201835475297,122.7884456697,143.301112539919,70.0764846692539
"DYNLL2",398.194642428552,453.831991264145,250.027851397122,157.527402217038,185.265186846678,429.549028800926,532.058290156756,539.03830992615,764.469959213434
"BDP1",63.2931734683562,36.5082978114469,25.3941098789406,21.4929186051244,23.4778680049664,20.292124331412,88.3922206925328,49.2538297120484,91.9695578842283
"HLA.G",3441.99431690317,4202.61039028208,2464.71650484926,5167.47217523646,2277.86652924956,1059.40609604211,2215.02459069384,1591.52157583311,1670.63806549002
"SSRP1",207.774097604554,260.841570325458,281.354455554557,121.908930081326,153.78036515985,389.555480134511,1461.25829594619,177.442403233056,261.501334742468
"NBPF1",25.9750028083985,34.2016850379789,73.0321096181315,29.1329622990546,43.2637405532292,35.9458670934168,17.3547659055112,40.4552771277081,19.4318721777238
"RAD50",80.0892664094663,105.952439854518,197.836937227934,164.270601170005,293.060658842816,263.579069139339,32.8357157907902,58.6144717131915,62.0708501183606
"PLPBP",113.589132251749,147.769785352402,239.20222517144,189.358451079014,291.029683957137,117.886524142398,311.368351199972,41.2916739231343,60.8038807442275
"IL2RA",35.7031633600277,42.139988052186,20.6844400831862,199.280674565485,152.732417833201,743.623215053748,2625.08332140342,18.904620720365,12.3065374571381
"TNFSF13B",161.690039746852,80.5471143887316,576.692719950018,2558.88837587156,1872.73558260966,213.282383797059,43.1135065241855,156.321022615779,18.2730873296325
"EXOC3L4",17.5493294268286,13.8236098476947,24.3031430491132,27.2503999660684,21.8699497434016,28.884427598078,54.2958301482818,24.2629825349551,22.2834390668764
"ARHGAP23",12.3109995823155,19.2681145386251,32.2737205998754,46.1879304674592,29.5180906514632,35.8389632851409,164.838279448486,33.4335582398172,107.17640353853
"REL",1319.87354634187,613.245316331966,306.547323895265,406.530983401653,812.372166145545,56.2855622316965,876.096209806687,48.9000488064774,207.211174978976
"DHRS7",25.0714929012789,26.3735431906631,28.3687759944549,28.0280991537866,33.4818421236003,19.4039975853158,410.18303114506,22.2066828568232,591.619174083945
"AHSA2P",340.883982191226,539.126120805609,691.377095788628,154.020011580968,359.360866177976,343.443031000678,67.7785796833517,691.524233851269,799.717972217477
"PDS5A",702.595730762157,611.033852402811,441.718363385924,217.159912883658,554.376195372533,517.189795547591,184.117251362604,748.866633419994,348.889168848285
"SH3BGRL",202.663293439634,1016.49577261354,2876.7676754486,3143.88667587408,2267.49161428243,323.601615532709,229.221331763313,364.915342844007,913.5956682158
"C1GALT1",131.74925557714,338.678477863102,43.8043731074773,31.7144408179385,48.3830898228428,43.7262584297441,59.8413783227139,264.220391090418,71.9118938759992
"ERICH1",7.59302100929728,7.65797260914575,7.48513844191459,7.2500276637821,6.31165566206784,7.9697142607426,8.76997056193895,8.52932752446331,88.0485597302602
"GLRX3",208.22016753845,223.502552886409,366.00841295436,532.036347324375,436.676928745356,472.65509614329,933.915686687191,183.924390468326,292.326640190956
"ZNF146",1055.70058205057,811.538652602072,677.619226742257,256.828144755356,508.13798352719,1107.85933610773,1145.03660151691,860.366773393165,591.681714461579
"MAPK8IP2",58.4323740238988,38.6668946316295,58.2094709390591,67.0920536808593,40.6139938744211,93.1279295949142,98.4623999813919,65.8691030619396,29.4287426704987
"TMLHE",21.0678472582426,45.6255485751311,141.013355715326,119.014413944085,143.649185251484,109.252917812256,25.8287245807846,67.8872151687192,86.8657169601129
"PDE4A",14.3539012948858,26.4446229439992,51.0328390994783,52.5125736859981,22.6287815584489,17.3655837126056,37.2542470597607,19.9982243066314,45.9306883543498
"ST13",962.140650823548,1020.99847781788,1615.65113778144,1478.1444020686,1730.84881580513,829.8587577909,402.212748589722,1227.20027848312,113.339740957383
"SQSTM1",384.831744315731,681.280923357279,2815.07569434381,1375.15449937701,3229.60609659202,384.834945269507,1254.82677243954,498.020389917102,320.255269781848
"RNF138",257.658075533289,345.770505268663,55.523322659637,45.685343577252,56.9707305004119,324.16690503413,185.427383058065,693.293776644803,265.373499774928
"BAIAP2",30.5782513100168,23.0822747026067,67.9535492228295,81.2000662852882,61.6505559733449,47.4846725561476,29.4215632919714,36.3784961609682,16.042671489443
"AURKA",15.588649040259,35.5522632663987,58.6620262868369,77.9461035127599,490.405721283235,407.591738639163,19.6870084871524,21.1840128900999,44.8811426017998
"ZFPL1",34.196576603785,44.6098997223862,58.192809711212,55.3351386683404,65.0615821156483,70.9157415152358,129.340116074458,64.2206783977802,130.148330931419
"RUBCNL",59.5374282561533,35.2755824780687,82.9961782118228,130.568493248659,107.881075559208,35.1851802817571,23.4972008818297,31.6022418256616,22.6009655010827
"NIN",56.2070424951253,77.5899558450182,35.7501898952255,25.05304400727,30.8959964816825,42.0401234313669,60.2008520026398,40.566783159528,320.757680356783
"GPR155",189.862871811611,52.1570366955744,34.084242137752,16.6501353501095,26.5839301073528,120.025655098174,16.1960376862753,537.548829129737,157.707886874542
"OGG1",91.4840924747272,254.459897957653,108.190798901758,47.5335418645499,97.2818999304649,118.251936566921,43.8836006916198,198.228419140773,105.120628775121
"MIR146A",29.4944377021385,29.1796566015073,43.4306608441287,47.631299353888,42.0117360966654,42.6828912644454,113.31193373196,40.152307645056,39.1186722868078
